,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
48,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,5.3,3.54718995794539e-11,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
49,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,6.4920269041642e-12,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
50,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,0.25,1.6732028103516e-12,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
51,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,0.03,2.00784337242192e-13,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
52,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,132.964594114857,8.89906930200953e-10,,,,,,,,,,,,,0.5,3.31428571428571,2.2181888685804e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
53,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,133.011016444628,8.90217626091496e-10,,,,,,,,,,,,,0.5,3.48571428571428,2.33292277557594e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
54,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,124.083058044808,8.30464485750372e-10,,,,,,,,,,,,,0.5,3.54285714285714,2.37116741124112e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
55,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,117.713681507513,7.87835450860814e-10,,,,,,,,,,,,,0.5,3.77142857142857,2.52414595390184e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
56,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,115.209172742019,7.71073246440915e-10,,,,,,,,,,,,,0.5,3.97142857142857,2.65800217872996e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
57,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,62.3833314511575,4.17519862012688e-10,,,,,,,,,,,,,0.5,0.971365638766519,6.50116686665246e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
58,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,54.8122868435912,3.66848289553979e-10,,,,,,,,,,,,,0.5,1.1464757709251,7.67314592764757e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
59,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,53.8932128740824,3.60697100959166e-10,,,,,,,,,,,,,0.5,1.24889867841409,8.35864311426741e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
60,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,51.5512140033879,3.45022544590021e-10,,,,,,,,,,,,,0.5,1.20925110132158,8.09328936460813e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
61,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,50.9878712591756,3.41252197938792e-10,,,,,,,,,,,,,0.5,1.3248898678414,8.86723780111435e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
62,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,30.2489440993788,2.02450473108996e-10,,,,,,,,,,,,,0.5,0.389867841409691,2.60931187164962e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
63,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,30.9781592320723,2.07330972346491e-10,,,,,,,,,,,,,0.5,0.531938325991189,3.56016280792873e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
64,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,27.4505251270468,1.83721183152807e-10,,,,,,,,,,,,,0.5,0.578193832599117,3.86974218253121e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
65,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,26.2944325239977,1.75983673583014e-10,,,,,,,,,,,,,0.5,0.601321585903083,4.02453186983247e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
66,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,25.7310897797854,1.72213326931785e-10,,,,,,,,,,,,,0.5,0.647577092511012,4.33411124443497e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
67,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,9.97226425748164,6.67424823247483e-11,,,,,,,,,,,,,0.5,0.102422907488987,6.85497186619819e-13,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
68,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,9.51570863918691,6.3686841750298e-11,,,,,,,,,,,,,0.5,0.135462555066079,9.06625311335885e-13,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
69,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,8.59677018633542,5.7536560142893e-11,,,,,,,,,,,,,0.5,0.13546255506608,9.06625311335892e-13,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
70,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,8.27071710897799,5.535434844146e-11,,,,,,,,,,,,,0.5,0.165198237885462,1.10564062358035e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
71,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,8.06310559006212,5.39648437338145e-11,,,,,,,,,,,,,0.5,0.181718061674009,1.21620468593839e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
72,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,82.7196652719665,5.53627105617591e-10,,,,,,,,,,,,,0.5,1.35410192256484,9.06274856935197e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
73,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,73.0543933054393,4.88939264748768e-10,,,,,,,,,,,,,0.5,1.88351128105513,1.26059854751615e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
74,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,71.9246861924686,4.81378348283581e-10,,,,,,,,,,,,,0.5,1.92096392514525,1.28566489525483e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
75,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,66.0251046025104,4.41893562298714e-10,,,,,,,,,,,,,0.5,1.9582498372663,1.31061965243381e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
76,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,62.3849372384937,4.17530609244223e-10,,,,,,,,,,,,,0.5,2.01963258103274,1.35170196418465e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
77,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,31.1973392461196,2.08797902808398e-10,,,,,,,,,,,,,0.5,0.480160288447807,3.21362217620042e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
78,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,1000000.0,1000.0,999000.0,,none,,0.5,,,,,,,0.5,29.2682926829267,1.95887158285064e-10,,,,,,,,,,,,,0.5,0.526197700985291,3.52174188835655e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
79,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,2000000.0,1000.0,1999000.0,,none,,0.5,,,,,,,0.5,28.1374722838136,1.88318790805868e-10,,,,,,,,,,,,,0.5,0.580053191489361,3.88218652061365e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
80,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,3000000.0,1000.0,2999000.0,,none,,0.5,,,,,,,0.5,27.6053215077604,1.84757206109776e-10,,,,,,,,,,,,,0.5,0.592419320291303,3.96495068647196e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
81,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,4000000.0,1000.0,3999000.0,,none,,0.5,,,,,,,0.5,27.5388026607537,1.84312008022765e-10,,,,,,,,,,,,,0.5,0.652659574468085,4.36812733681151e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
82,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,,,56.0,0.0,,308.0,400000.0,1000.0,399000.0,,none,,0.5,,,,,,,0.5,11.5077605321504,7.7019269052989e-11,,,,,,,,,,,,,0.5,0.143458160788232,9.60138391194964e-13,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
